term,revenue,operating_income,net_income,cfo,capex,total_assets,total_equity,shares_diluted
2016Q1,78351000000,23359000000,17891000000,27234000000,3334000000,331141000000,132390000000,5327995000
2016Q2,48078000000,14799000000,10986000000,11830000000,2614000000,321686000000,130457000000,5567506000
2016Q3,42358000000,10105000000,7796000000,10634000000,2809000000,321686000000,128249000000,5535931000
2016Q4,46852000000,11761000000,9014000000,16533000000,3977000000,321686000000,128249000000,5500281000
2017Q1,88293000000,26274000000,20065000000,28293000000,2810000000,406794000000,140199000000,5157787000
2017Q2,42954000000,11182000000,8855000000,11511000000,3499000000,375319000000,140199000000,5294841000
2017Q3,45408000000,10768000000,8717000000,8672000000,2277000000,375319000000,134047000000,5274394000
2017Q4,52579000000,13120000000,10714000000,15749000000,3865000000,375319000000,134047000000,5251692000
2018Q1,84310000000,23346000000,19965000000,26690000000,3355000000,373719000000,117892000000,4773252000
2018Q2,65120000000,18822000000,13922000000,16733000000,3650000000,367502000000,126878000000,5113140000
2018Q3,53265000000,12612000000,11519000000,14488000000,3267000000,365725000000,126878000000,5050963000
2018Q4,62900000000,16118000000,14125000000,19523000000,3041000000,365725000000,107147000000,20000435000
2019Q1,91819000000,25569000000,22236000000,30516000000,2107000000,340618000000,90488000000,17818417000
2019Q2,50506000000,11192000000,9290000000,7329000000,3611000000,341998000000,105860000000,4736949000
2019Q3,53809000000,11544000000,10044000000,11636000000,2000000000,338516000000,105860000000,4691759000
2019Q4,64040000000,15625000000,13686000000,19910000000,2777000000,338516000000,90488000000,18595651000
2020Q1,111439000000,33534000000,28755000000,38763000000,3500000000,354054000000,66224000000,17113688000
2020Q2,38693000000,4888000000,4730000000,5064000000,460000000,323888000000,78425000000,17718591000
2020Q3,59685000000,13091000000,11253000000,16271000000,1565000000,323888000000,78425000000,17618778000
2020Q4,64698000000,14775000000,12673000000,20576000000,1784000000,323888000000,65339000000,17528214000
2021Q1,123945000000,41488000000,34630000000,46966000000,2803000000,381191000000,71932000000,16519291000
2021Q2,77078000000,19549000000,17755000000,15778000000,2966000000,351002000000,71932000000,17021423000
2021Q3,81434000000,24126000000,21744000000,21094000000,2093000000,351002000000,69178000000,16941527000
2021Q4,83360000000,23786000000,20551000000,20200000000,3223000000,351002000000,63090000000,16864919000
2022Q1,117154000000,36016000000,29998000000,34005000000,3787000000,352755000000,56727000000,15955718000
2022Q2,104069000000,35451000000,29642000000,41127000000,1530000000,352755000000,67399000000,16461304000
2022Q3,82959000000,23076000000,19442000000,22892000000,2102000000,352755000000,67399000000,16394937000
2022Q4,90146000000,24894000000,20721000000,24127000000,3289000000,352755000000,50672000000,16325819000
2023Q1,119575000000,40373000000,33916000000,39895000000,2392000000,353514000000,74100000000,15576641000
2023Q2,92415000000,23961000000,20242000000,22670000000,4311000000,352583000000,74100000000,15901384000
2023Q3,81797000000,22998000000,19881000000,26380000000,2093000000,352583000000,62158000000,15859263000
2023Q4,89498000000,26969000000,22956000000,21598000000,2163000000,352583000000,62146000000,15812547000
2024Q1,124300000000,42832000000,36330000000,29935000000,2940000000,364980000000,66758000000,15150865000
2024Q2,86028000000,25441000000,21222000000,32650000000,1448000000,364980000000,74194000000,15520675000
2024Q3,85777000000,25352000000,21448000000,28858000000,2151000000,364980000000,74194000000,15463175000
2024Q4,94930000000,29591000000,14736000000,26811000000,2908000000,364980000000,56950000000,15408095000
2025Q1,143756000000,50852000000,42097000000,53925000000,2373000000,379297000000,88190000000,14810356000
2025Q2,75903000000,21569000000,19013000000,-38000000,3638000000,359241000000,88190000000,15103499000
2025Q3,94036000000,28202000000,23434000000,27867000000,3462000000,331495000000,66796000000,15051726000
2025Q4,102466000000,32427000000,27466000000,29728000000,3242000000,359241000000,73733000000,15004697000
2026Q1,,,,,,,,
2026Q2,,,,,,371082000000,106491000000,14768115000
2026Q3,,,,,,,,
2026Q4,,,,,,,,
