id,symbol,ticker,name
arista-networks-ondo-tokenized-stocks,aneton,ANET,Arista Networks
seagate-ondo-tokenized,stxon,STX,Seagate (Ondo Tokenized)
vanguard-value-etf-ondo-tokenized,vtvon,VTV,Vanguard Value ETF (Ondo Tokenized)
intuitive-machines-ondo-tokenized,lunron,LUNR,Intuitive Machines (Ondo Tokenized)
li-auto-ondo-tokenized,lion,LI,Li Auto (Ondo Tokenized)
amc-entertainment-ondo-tokenized-stocks,amcon,AMC,AMC Entertainment
ge-vernova-ondo-tokenized,gevon,GEV,GE Vernova (Ondo Tokenized)
terawulf-ondo-tokenized,wulfon,WULF,Terawulf (Ondo Tokenized)
applied-materials-ondo-tokenized-stocks,amaton,AMAT,Applied Materials
moderna-ondo-tokenized,mrnaon,MRNA,Moderna (Ondo Tokenized)
kanzhun-ondo-tokenized-stock,bzon,BZ,Kanzhun
caterpillar-ondo-tokenized-stock,caton,CAT,Caterpillar
quantum-computing-ondo-tokenized,qubton,QUBT,Quantum Computing (Ondo Tokenized)
applied-digital-ondo-tokenized,apldon,APLD,Applied Digital (Ondo Tokenized)
intuitive-surgical-ondo-tokenized-stock,isrgon,ISRG,Intuitive Surgical
rivian-automotive-ondo-tokenized,rivnon,RIVN,Rivian Automotive (Ondo Tokenized)
figure-technology-solutions-ondo-tokenized-stock,figron,FIGR,Figure Technology Solutions
freeport-mcmoran-ondo-tokenized,fcxon,FCX,Freeport-McMoRan (Ondo Tokenized)
lam-research-ondo-tokenized,lrcxon,LRCX,Lam Research (Ondo Tokenized)
nextera-energy-ondo-tokenized,neeon,NEE,NextEra Energy (Ondo Tokenized)
invesco-db-commodity-index-tracking-fund-ondo-tokenized-etf,dbcon,DBC,Invesco DB Commodity Index Tracking Fund
kla-ondo-tokenized,klacon,KLAC,KLA (Ondo Tokenized)
bigbear-ai-holdings-ondo-tokenized-stocks,bbaion,BBAI,BigBear.ai Holdings
rtx-ondo-tokenized,rtxon,RTX,RTX (Ondo Tokenized)
solaredge-technologies-ondo-tokenized,sedgon,SEDG,SolarEdge Technologies (Ondo Tokenized)
plug-power-ondo-tokenized,plugon,PLUG,Plug Power (Ondo Tokenized)
uranium-energy-ondo-tokenized,uecon,UEC,Uranium Energy (Ondo Tokenized)
sprott-nickel-miners-etf-ondo-tokenized,niklon,NIKL,Sprott Nickel Miners ETF (Ondo Tokenized)
archer-aviation-ondo-tokenized-stocks,achron,ACHR,Archer Aviation
ishares-msci-brazil-etf-ondo-tokenized,ewzon,EWZ,iShares MSCI Brazil ETF (Ondo Tokenized)
verizon-ondo-tokenized,vzon,VZ,Verizon (Ondo Tokenized)
wisdomtree-floating-rate-treasury-fund-ondo-tokenized,usfron,USFR,WisdomTree Floating Rate Treasury Fund (Ondo Tokenized)
crowdstrike-ondo-tokenized-stocks,crwdon,CRWD,CrowdStrike
grab-holdings-ondo-tokenized-stock,grabon,GRAB,Grab Holdings
kraneshares-csi-china-internet-etf-ondo-tokenized,kwebon,KWEB,KraneShares CSI China Internet ETF (Ondo Tokenized)
southern-copper-ondo-tokenized,sccoon,SCCO,Southern Copper (Ondo Tokenized)
ford-motor-ondo-tokenized-stock,fon,F,Ford Motor
proshares-short-qqq-ondo-tokenized,psqon,PSQ,ProShares Short QQQ (Ondo Tokenized)
ishares-china-large-cap-etf-ondo-tokenized,fxion,FXI,iShares China Large-Cap ETF (Ondo Tokenized)
ishares-flexible-income-active-etf-ondo-tokenized-etf,bincon,BINC,iShares Flexible Income Active ETF
t-mobile-us-ondo-tokenized-stock,tmuson,TMUS,T-Mobile US
home-depot-ondo-tokenized-stock,hdon,HD,Home Depot
invesco-optimum-yld-dvsfd-cmd-str-no-k-1-etf-ondo-tokenized-etf,pdbcon,PDBC,Invesco Optimum Yld Dvsfd Cmd Str No K-1 ETF
abbvie-ondo-tokenized-stock,abbvon,ABBV,AbbVie
first-trust-global-tactical-commodity-strategy-fund-ondo-tokenized-stock,ftgcon,FTGC,First Trust Global Tactical Commodity Strategy Fund
us-brent-oil-fund-ondo-tokenized,bnoon,BNO,US Brent Oil Fund (Ondo Tokenized)
soundhound-ai-ondo-tokenized,sounon,SOUN,SoundHound AI (Ondo Tokenized)
bullish-ondo-tokenized-stocks,blshon,BLSH,Bullish
amgen-ondo-tokenized-stocks,amgnon,AMGN,Amgen
first-trust-nasdaq-cybersecurity-etf-ondo-tokenized,cibron,CIBR,First Trust NASDAQ Cybersecurity ETF (Ondo Tokenized)
conocophillips-ondo-tokenized-stocks,copon,COP,ConocoPhillips
denison-mines-ondo-tokenized-stocks,dnnon,DNN,Denison Mines
ishares-1-3-year-treasury-bond-etf-ondo-tokenized,shyon,SHY,iShares 1-3 Year Treasury Bond ETF (Ondo Tokenized)
gemini-space-station-ondo-tokenized-stock,gemion,GEMI,Gemini Space Station
waste-management-ondo-tokenized,wmon,WM,Waste Management (Ondo Tokenized)
on-semiconductor-ondo-tokenized,onon,ON,ON Semiconductor (Ondo Tokenized)
pinterest-ondo-tokenized,pinson,PINS,Pinterest (Ondo Tokenized)
snap-ondo-tokenized,snapon,SNAP,Snap (Ondo Tokenized)
analog-devices-ondo-tokenized-stocks,adion,ADI,Analog Devices
ishares-msci-india-etf-ondo-tokenized,indaon,INDA,iShares MSCI India ETF (Ondo Tokenized)
janus-henderson-aaa-clo-etf-ondo-tokenized-etf,jaaaon,JAAA,Janus Henderson AAA CLO ETF
